authors,category,name
Vasili Perebeinos;Philip B. Allen,Non-Math,Allen_P
Philip B. Allen;Vasili Perebeinos,Non-Math,Allen_P
Branislav K. Nikolic;Philip B. Allen,Non-Math,Allen_P
Vasili Perebeinos;Philip B. Allen;M. Weinert,Non-Math,Allen_P
Vasili Perebeinos;Philip B. Allen,Non-Math,Allen_P
Branislav K. Nikolic;Philip B. Allen,Non-Math,Allen_P
Vasili Perebeinos;Philip B. Allen,Non-Math,Allen_P
Vasili Perebeinos;Philip B. Allen;James Napolitano,Non-Math,Allen_P
Yiing-Rei Chen;Philip B. Allen,Non-Math,Allen_P
Philip B. Allen;Ilka B. Bischofs,Non-Math,Allen_P
Vasili Perebeinos;Philip B. Allen;Mark Pederson,Non-Math,Allen_P
Philip B. Allen;W. Garber;L. Angelani,Non-Math,Allen_P
Paul Allen;Lars Andersson;James Isenberg,Differential Geometry,Allen_P
James Isenberg;Adam Clausen;Paul T Allen,Non-Math,Allen_P
Peter R. Allen;I. Neill Reid,Non-Math,Allen_P
Paul T. Allen;Alan D. Rendall,Analysis of PDEs,Allen_P
Peter Allen;Julia BÃ¶ttcher;Jan HladkÃ_,Combinatorics,Allen_P
Paul T. Allen;Lars Andersson;Alvaro Restuccia,Non-Math,Allen_P
Peter Allen;Julia BÃ¶ttcher;Jan HladkÃ_;Diana Piguet,Combinatorics,Allen_P
Peter Allen;Julia BÃ¶ttcher;Yury Person,Combinatorics,Allen_P
Peter Allen;Jozef Skokan;Andreas WÃ_rfl,Combinatorics,Allen_P
Peter Allen;Julia BÃ¶ttcher;Yoshiharu Kohayakawa;Yury Person,Combinatorics,Allen_P
Peter Allen;Graham Brightwell;Jozef Skokan,Combinatorics,Allen_P
Peter Allen;Peter Keevash;Benny Sudakov;Jacques Verstraete,Combinatorics,Allen_P
Patrick Allen;Bruce M. Landman;Holly Meeks,Combinatorics,Allen_P
Paul T. Allen;Adam Layne;Katharine Tsukahara,Differential Geometry,Allen_P
Pablo G. Allen;Norberto N. Scoccola,Non-Math,Allen_P
Pablo G. Allen;Norberto N. Scoccola,Non-Math,Allen_P
Peter Allen;Julia BÃ¶ttcher;Jan HladkÃ_;Diana Piguet,Combinatorics,Allen_P
Peter Allen;Julia BÃ¶ttcher;Jan HladkÃ_;Diana Piguet,Combinatorics,Allen_P
Patrick B. Allen;Frank Calegari,Number Theory,Allen_P
Peter Allen;Julia BÃ¶ttcher;Oliver Cooley;Richard Mycroft,Combinatorics,Allen_P
BetÃ_l Pamuk;Philip B. Allen;M. -V. FernÃ¡ndez-Serra,Non-Math,Allen_P
Paul T. Allen;Iva Stavrov Allen,Differential Geometry,Allen_P
Peter Allen;Julia BÃ¶ttcher;Yoshiharu Kohayakawa;Barnaby Roberts,Combinatorics,Allen_P
Jiongxin Liu;Yinxiao Li;Peter Allen;Peter Belhumeur,Non-Math,Allen_P
Jean Paul Nery;Philip B. Allen,Non-Math,Allen_P
Philip B. Allen;Jean Paul Nery,Non-Math,Allen_P
Anna Adamaszek;Peter Allen;Codrut Grosu;Jan Hladky,Combinatorics,Allen_P
Philip B. Allen;Seth Aubin;R. B. Doak,Non-Math,Allen_P
Yiing-Rei Chen;Vasili Perebeinos;Philip B. Allen,Non-Math,Allen_P
Yiing-Rei Chen;Vasili Perebeinos;Philip B. Allen,Non-Math,Allen_P
Philip B. Allen;Alexander G. Abanov;Ryan Requist,Non-Math,Allen_P
Christian Schmidt;Philip B. Allen;Tunna Baruah;Mark Pederson,Non-Math,Allen_P
Yulia Gilman;Philip B. Allen;Mark S. Hybertsen,Non-Math,Allen_P
K. L. Luhman;E. E. Mamajek;P. R. Allen;K. L. Cruz,Non-Math,Allen_P
K. L. Luhman;P. R. Allen;C. Espaillat;L. Hartmann;N. Calvet,Non-Math,Allen_P
Peter Allen;Julia BÃ¶ttcher;Simon Griffiths;Yoshiharu Kohayakawa;Robert Morris,Combinatorics,Allen_P
P. B. Allen;T. Berlijn;D. A. Casavant;J. M. Soler,Non-Math,Allen_P
Philip B. Allen;Yerong Li,Non-Math,Allen_P
Jian Liu;Maria V. FernÃ¡ndez-Serra;Philip B. Allen,Non-Math,Allen_P
Jian Liu;Maria V. FernÃ¡ndez-Serra;Philip B. Allen,Non-Math,Allen_P
Peter Allen;Julia BÃ¶ttcher;Jozef Skokan;Maya Stein,Combinatorics,Allen_P
T. Shanks;P. D. Allen;F. Hoyle;N. R. Tanvir,Non-Math,Allen_P
T. Shanks;P. D. Allen;F. Hoyle;N. R. Tanvir,Non-Math,Allen_P
P. R. Allen;D. E. Trilling;D. W. Koerner;I. N. Reid,Non-Math,Allen_P
Simon P. Driver;Alister W. Graham;Paul D. Allen;Jochen Liske,Non-Math,Allen_P
I. N. Reid;E. Lewitus;P. R. Allen;Kelle L. Cruz;Adam J. Burgasser,Non-Math,Allen_P
Simon P. Driver;Paul D. Allen;Jochen Liske;Alister W. Graham,Non-Math,Allen_P
Elihu Abrahams;Alexander Balatsky;J. R. Schrieffer;Philip B. Allen,Non-Math,Allen_P
P. B. Allen;H. Berger;O. Chauvet;L. Forro;T. Jarlborg;A. Junod;B. Revaz;G. Santi,Non-Math,Allen_P
Philip B. Allen;Joseph L. Feldman;Jaroslav Fabian;Frederick Wooten,Non-Math,Allen_P
William Garber;Folkert M. Tangerman;Philip B. Allen;Joseph L. Feldman,Non-Math,Allen_P
A. V. Fedorov;T. Valla;F. Liu;P. D. Johnson;M. Weinert;P. B. Allen,Non-Math,Allen_P
Ilka B. Bischofs;Vladimir N. Kostur;Philip B. Allen,Non-Math,Allen_P
Ilka B. Bischofs;Philip B. Allen;Vladimir N. Kostur;Rahul Bhargava,Non-Math,Allen_P
Philip B. Allen;Yiing-Rei Chen;Santanu Chaudhuri;Clare P. Grey,Non-Math,Allen_P
Mark R. Pederson;Tunna Baruah;Philip B. Allen;Christian Schmidt,Non-Math,Allen_P
Alister W. Graham;Simon P. Driver;Paul D. Allen;Jochen Liske,Non-Math,Allen_P
K. L. Luhman;E. E. Mamajek;P. R. Allen;A. A. Muench;D. P. Finkbeiner,Non-Math,Allen_P
Qiang Zhu;Li Li;Artem R. Oganov;Philip B. Allen,Non-Math,Allen_P
Yulia Gilman;Jamil Tahir-Kheli;Philip B. Allen;William A. Goddard,Non-Math,Allen_P
Peter R. Allen;Adam J. Burgasser;Jacqueline K. Faherty;J. Davy Kirkpatrick,Non-Math,Allen_P
Peter Allen;Julia BÃ¶ttcher;Hiep HÃ n;Yury Person;Yoshiharu Kohayakawa,Combinatorics,Allen_P
Pablo G. Allen;Valeria P. Pagura;Norberto N. Scoccola,Non-Math,Allen_P
Paul T. Allen;James Isenberg;John M. Lee;Iva Stavrov Allen,Differential Geometry,Allen_P
Paul T. Allen;James Isenberg;John M. Lee;Iva Stavrov Allen,Differential Geometry,Allen_P
Peter Allen;Julia BÃ¶ttcher;Simon Griffiths;Yoshiharu Kohayakawa;Robert Morris,Combinatorics,Allen_P
Peter Allen;Julia BÃ¶ttcher;Simon Griffiths;Yoshiharu Kohayakawa;Robert Morris,Combinatorics,Allen_P
Pablo G. Allen;Ana G. Grunfeld;Norberto N. Scoccola,Non-Math,Allen_P
Yinxiao Li;Yonghao Yue;Danfei Xu;Eitan Grinspun;Peter Allen,Non-Math,Allen_P
I. N. Reid;K. L. Cruz;P. Allen;F. Mungall;D. Kilkenny;J. Liebert;S. L. Hawley;O. J. Fraser;K. R. Covey;P. Lowrance,Non-Math,Allen_P
P. R. Allen;D. W. Koerner;I. N. Reid;D. E. Trilling,Non-Math,Allen_P
Simon P Driver;Jochen Liske;Nicholas J. G. Cross;Roberto De Propris;Paul D. Allen,Non-Math,Allen_P
Paul D. Allen;Leonidas A. Moustakas;Gavin Dalton;Emily MacDonald;Chris Blake;Lee Clewley;Catherine Heymans;Gary Wegner,Non-Math,Allen_P
R. De Propris;J. Liske;S. P. Driver;P. Allen;N. J. G. Cross,Non-Math,Allen_P
J. Liske;S. P. Driver;P. D. Allen;N. J. G. Cross;R. De Propris,Non-Math,Allen_P
Paul D. Allen;Simon P. Driver;Alister W. Graham;Ewan Cameron;Jochen Liske;Roberto De Propris,Non-Math,Allen_P
Peter R. Allen;David W. Koerner;Michael W. McElwain;Kelle L. Cruz;I. Neill Reid,Non-Math,Allen_P
P. R. Allen;K. L. Luhman;P. C. Myers;S. T. Megeath;L. E. Allen;L. Hartmann;G. G. Fazio,Non-Math,Allen_P
P. G. Allen;A. L. Henderson;E. R. Sylwester;P. E. A. Turchi;T. H. Shen;G. F. Gallegos;C. H. Booth,Non-Math,Allen_P
Xiao Shen;Mark R. Pederson;Jin-Cheng Zheng;James W. Davenport;James T. Muckerman;Philip B. Allen,Non-Math,Allen_P
Steven P. Lewis;Phillip B. Allen;Taizo Sasaki,Non-Math,Allen_P
Tao Sun;Philip B. Allen;David G. Stahnke;Steven D. Jacobsen;Christopher C. Homes,Non-Math,Allen_P
R. De Propris;C. J. Conselice;S. P. Driver;J. Liske;D. Patton;A. Graham;P. Allen,Non-Math,Allen_P
C. H. Booth;E. D. Bauer;M. Daniel;R. E. Wilson;J. N. Mitchell;L. A. Morales;J. L. Sarrao;P. G. Allen,Non-Math,Allen_P
B. Pamuk;J. M. Soler;R. Ramirez;C. P. Herrero;P. W. Stephens;P. B. Allen;M. V. Fernandez-Serra,Non-Math,Allen_P
Jian Liu;Luana S. Pedroza;Carissa Misch;Maria V. FernÃ¡ndez-Serra;Philip B. Allen,Non-Math,Allen_P
Yinxiao Li;Xiuhan Hu;Danfei Xu;Yonghao Yue;Eitan Grinspun;Peter Allen,Non-Math,Allen_P
Yinxiao Li;Yan Wang;Yonghao Yue;Danfei Xu;Michael Case;Shih-Fu Chang;Eitan Grinspun;Peter Allen,Non-Math,Allen_P
I. N. Reid;K. L. Cruz;P. R. Allen;D. Kilkenny;J. Liebert;S. L. Hawley;O. fraser;K. Covey;P. Lowrance;J. D. Kirkpatrick;A. J. Burgasser,Non-Math,Allen_P
S. C. Ellis;S. P. Driver;P. D. Allen;J. Liske;J. Bland-Hawthorn;R. De Propris,Non-Math,Allen_P
Adam J. Burgasser;I. Neill Reid;Nick Siegler;Laird Close;Peter Allen;Patrick Lowrance;John Gizis,Non-Math,Allen_P
Simon P. Driver;Paul D. Allen;Alister W. Graham;Ewan Cameron;Jochen Liske;Simon C. Ellis;Nicholas J. G. Cross;Roberto De Propris;Steven Phillipps;Warrick J. Couch,Non-Math,Allen_P
J. J. Tu;G. L. Carr;V. Perebeinos;C. C. Homes;M. Strongin;P. B. Allen;W. N. Kang;E. M. Choi;H. J. Kim;Sung-Ik Lee,Non-Math,Allen_P
Simon P. Driver;Cristina C. Popescu;Richard J. Tuffs;Jochen Liske;Alister W. Graham;Paul D. Allen;Roberto De Propris,Non-Math,Allen_P
K. L. Luhman;L. E. Allen;P. R. Allen;R. A. Gutermuth;L. Hartmann;E. E. Mamajek;S. T. Megeath;P. C. Myers;G. G. Fazio,Non-Math,Allen_P
I. Neill Reid;Kelle L. Cruz;J. Davy Kirkpatrick;Peter R. Allen;F. Mungall;James Liebert;Patrick Lowrance;Anne Sweet,Non-Math,Allen_P
C. H. Booth;Yu Jiang;D. L. Wang;J. N. Mitchell;P. H. Tobash;E. D. Bauer;M. A. Wall;P. G. Allen;D. Sokaras;D. Nordlund;T. -C. Weng;M. A. Torrez;J. L. Sarrao,Non-Math,Allen_P
Joseph Carson;Massimo Marengo;Brian Patten;Kevin Luhman;Sarah Sonnett;Joseph Hora;Michael Schuster;Peter Allen;Giovanni Fazio;John Stauffer;Carolin Schnupp,Non-Math,Allen_P
Dyana C. Duarte;P. G. Allen;R. L. S. Farias;Pedro H. A. Manso;Rudnei O. Ramos;N. N. Scoccola,Non-Math,Allen_P
D. T. Olive;D. L. Wang;C. H. Booth;E. D. Bauer;A. L. Pugmire;F. J. Freibert;S. K. McCall;M. A. Wall;P. G. Allen,Non-Math,Allen_P
Kelle L. Cruz;I. Neill Reid;J. Davy Kirkpatrick;Adam J. Burgasser;James Liebert;Adam R. Solomon;Sarah J. Schmidt;Peter R. Allen;Suzanne L. Hawley;Kevin R. Covey,Non-Math,Allen_P
Emily C. MacDonald;Paul Allen;Gavin Dalton;Leonidas A. Moustakas;Catherine Heymans;Edward Edmondson;Chris Blake;Lee Clewley;Molly C. Hammell;Ed Olding;Lance Miller;Steve Rawlings;Jasper Wall;Gary Wegner;Christian Wolf; .,Non-Math,Allen_P
R. Cannon;M. Drinkwater;A. Edge;D. Eisenstein;R. C. Nichol;P. Outram;K. Pimbblet;R. De Propris;I. Roseboom;David Wake;P. Allen;J. Bland-Hawthorn;T. Bridges;D. Carson;K. Chiu;M. Colless;W. Couch;S. Croom;S. Driver;S. Fine;P. Hewett;J Loveday;N. Ross;E. M. Sadler;T. Shanks;R. Sharp;J. Allyn Smith;C. Stoughton;Peter Weilbacher;R. J. Brunner;A. Meiksin;D. P. Schneider,Non-Math,Allen_P
Matthew Ando,Algebraic Topology,Ando_M
Masanori Ando,Combinatorics,Ando_M
Masanori Ando,Combinatorics,Ando_M
M. Ando;E. Sharpe,Non-Math,Ando_M
M. Ando;E. Sharpe,Non-Math,Ando_M
Matthew Ando;Maria Basterra,Algebraic Topology,Ando_M
Matthew Ando;Jack Morava,Algebraic Topology,Ando_M
Kouji Nakamura;Masaki Ando,Non-Math,Ando_M
Masaki Ando;the TAMA collaboration,Non-Math,Ando_M
Hideo Aoki;Masato Ando;Hajime Matsumura,Non-Math,Ando_M
Y. Aso;M. Ando;K. Kawabe;S. Otsuka;K. Tsubono,Non-Math,Ando_M
Kazuhiro Yamamoto;Masaki Ando;Keita Kawabe;Kimio Tsubono,Non-Math,Ando_M
S. Hellerman;A. Henriques;T. Pantev;E. Sharpe;M. Ando,Non-Math,Ando_M
Matthew Ando;Jack Morava;Hal Sadofsky,Algebraic Topology,Ando_M
Matthew Ando;Christopher P. French,Algebraic Topology,Ando_M
Matthew Ando;Christopher P. French;Nora Ganter,Algebraic Topology,Ando_M
Matthew Ando;J. P. C. Greenlees,Algebraic Topology,Ando_M
Matthew Ando;Andrew J. Blumberg;David Gepner,Algebraic Topology,Ando_M
Matthew Ando;Andrew J. Blumberg;David Gepner,Algebraic Topology,Ando_M
Kazunari Eda;Ayaka Shoda;Yousuke Itoh;Masaki Ando,Non-Math,Ando_M
Masashi Ando;Kentaro Doi;Hajime Susa,Non-Math,Ando_M
Masanori Ando;Takeshi Suzuki;Hiro-Fumi Yamada,Combinatorics,Ando_M
M. Ando;K. Ohta;I. Iwata;M. Akiyama;K. Aoki;N. Tamura,Non-Math,Ando_M
Matthew Ando;Michael J. Hopkins;Neil P. Strickland,Algebraic Topology,Ando_M
M. Akiyama;Y. Minowa;N. Kobayashi;K. Ohta;M. Ando;I. Iwata,Non-Math,Ando_M
Yuta Michimura;Matthew Mewes;Nobuyuki Matsumoto;Yoichi Aso;Masaki Ando,Non-Math,Ando_M
Kazunari Eda;Ayaka Shoda;Yuya Kuwahara;Yousuke Itoh;Masaki Ando,Non-Math,Ando_M
Yuya Kuwahara;Ayaka Shoda;Kazunari Eda;Masaki Ando,Non-Math,Ando_M
I. Iwata;K. Ohta;M. Ando;G. Kiuchi;N. Tamura;M. Akiyama;K. Aoki,Non-Math,Ando_M
I. Iwata;K. Ohta;N. Tamura;M. Akiyama;K. Aoki;M. Ando;G. Kiuchi;M. Sawicki,Non-Math,Ando_M
K. Aoki;I. Iwata;K. Ohta;N. Tamura;M. Ando;M. Akiyama;G. Kiuchi;K. Nakanishi,Non-Math,Ando_M
Sher Alam;M. O. Rahman;M. Ando;S. B. Mohamed;T. Yanagisawa,Non-Math,Ando_M
Sher Alam;M. O. Rahman;M. Ando;S. B. Mohamed;T. Yanagisawa,Non-Math,Ando_M
K. Numata;K. Yamamoto;H. Ishimoto;S. Otsuka;K. Kawabe;M. Ando;K. Tsubono,Non-Math,Ando_M
Masataka Ando;Kouji Ohta;Ikuru Iwata;Masayuki Akiyama;Kentaro Aoki;Naoyuki Tamura,Non-Math,Ando_M
Yuta Michimura;Nobuyuki Matsumoto;Noriaki Ohmae;Wataru Kokuyama;Yoichi Aso;Masaki Ando;Kimio Tsubono,Non-Math,Ando_M
Ayaka Shoda;Masaki Ando;Koji Ishidoshiro;Kenshi Okada;Wataru Kokuyama;Yoichi Aso;Kimio Tsubono,Non-Math,Ando_M
Yuta Michimura;Nobuyuki Matsumoto;Noriaki Ohmae;Wataru Kokuyama;Yoichi Aso;Masaki Ando;Kimio Tsubono,Non-Math,Ando_M
Kentaro Aoki;Ikuru Iwata;Kouji Ohta;Masataka Ando;Masayuki Akiyama;Naoyuki Tamura,Non-Math,Ando_M
Matthew Ando;Andrew J. Blumberg;David Gepner;Michael J. Hopkins;Charles Rezk,Algebraic Topology,Ando_M
Matthew Ando;Andrew J. Blumberg;David Gepner;Michael J. Hopkins;Charles Rezk,Algebraic Topology,Ando_M
K. Hurley;P. Li;C. Kouveliotou;T. Murakami;M. Ando;T. Strohmayer;J. van Paradijs;F. Vrba;C. Luginbuhl;A. Yoshida;I. Smith;S. Kulkarni,Non-Math,Ando_M
K. Hurley;T. Strohmayer;P. Li;C. Kouveliotou;P. Woods;J. van Paradijs;T. Murakami;D. Hartmann;I. Smith;M. Ando;A. Yoshida;M. Sugizaki,Non-Math,Ando_M
I. Iwata;K. Ohta;N. Tamura;M. Ando;S. Wada;C. Watanabe;M. Akiyama;K. Aoki,Non-Math,Ando_M
Marcin Sawicki;Ikuru Iwata;Kouji Ohta;David Thompson;Naoyuki Tamura;Masayuki Akiyama;Kentaro Aoki;Masataka Ando;Gaku Kiuchi,Non-Math,Ando_M
Kouji Ohta;Gaku Kiuchi;Kouichiro Nakanishi;Kentaro Aoki;Ikuru Iwata;Masayuki Akiyama;Naoyuki Tamura;Masataka Ando,Non-Math,Ando_M
Yoshiki Tsunesada;Nobuyuki Kanda;Hiroyuki Nakano;Daisuke Tatsumi;Masaki Ando;Misao Sasaki;Hideyuki Tagoshi;Hirotaka Takahashi,Non-Math,Ando_M
Matthew Ando;Andrew J. Blumberg;David J. Gepner;Michael J. Hopkins;Charles Rezk,Algebraic Topology,Ando_M
Yoichi Aso;Yuta Michimura;Kentaro Somiya;Masaki Ando;Osamu Miyakawa;Takanori Sekiguchi;Daisuke Tatsumi;Hiroaki Yamamoto,Non-Math,Ando_M
Yoshiaki Tsujimoto;Yukihiro Sugiura;Makoto Ando;Daisuke Katsuse;Rikizo Ikuta;Takashi Yamamoto;Masato Koashi;Nobuyuki Imoto,Non-Math,Ando_M
Yuta Michimura;Jake Guscott;Matthew Mewes;Nobuyuki Matsumoto;Noriaki Ohmae;Wataru Kokuyama;Yoichi Aso;Masaki Ando,Non-Math,Ando_M
Masataka Ando;Kouji Ohta;Ikuru Iwata;Chisato Watanabe;Naoyuki Tamura;Masayuki Akiyama;Kentaro Aoki,Non-Math,Ando_M
Masataka Ando;Kouji Ohta;Ikuru Iwata;Masayuki Akiyama;Kentaro Aoki;Naoyuki Tamura,Non-Math,Ando_M
I. Iwata;K. Ohta;N. Tamura;M. Akiyama;K. Aoki;M. Ando;G. Kiuchi;M. Sawicki,Non-Math,Ando_M
Jan Harms;Bram J. J. Slagmolen;Rana X. Adhikari;M. Coleman Miller;Matthew Evans;Yanbei Chen;Holger MÃ_ller;Masaki Ando,Non-Math,Ando_M
Koji Ishidoshiro;Masaki Ando;Akiteru Takamori;Hirotaka Takahashi;Kenshi Okada;Nobuyuki Matsumoto;Wataru Kokuyama;Nobuyuki Kanda;Yoichi Aso;Kimio Tsubono,Non-Math,Ando_M
Takashi Nakamura;Masaki Ando;Tomoya Kinugawa;Hiroyuki Nakano;Kazunari Eda;Shuichi Sato;Mitsuru Musha;Tomotada Akutsu;Takahiro Tanaka;Naoki Seto;Nobuyuki Kanda;Yousuke Itoh,Non-Math,Ando_M
Tomonari Michiyama;Daisuke Iono;Kouichiro Nakanishi;Junko Ueda;Toshiki Saito;Misaki Ando;Hiroyuki Kaneko;Takuji Yamashita;Yuichi Matsuda;Bunyo Hatsukade;Kenichi Kikuchi;Shinya Komugi;Takayuki Muto,Non-Math,Ando_M
Masaki Ando;Koji Arai;Youichi Aso;Peter Beyersdorf;Kazuhiro Hayama;Yukiyoshi Iida;Nobuyuki Kanda;Seiji Kawamura;Kazuhiro Kondo;Norikatsu Mio;Shinji Miyoki;Shigenori Moriwaki;Shigeo Nagano;Kenji Numata;Shuichi Sato;Kentaro Somiya;Hideyuki Tagoshi;Hirotaka Takahashi;Ryutaro Takahashi;Daisuke Tatsumi;Yoshiki Tsunesada;Zong-Hong Zhu,Non-Math,Ando_M
Patrick J. Sutton;Masaki Ando;Patrick Brady;Laura Cadonati;Alessandra Di Credico;Stephen Fairhurst;Lee Samuel Finn;Nobuyuki Kanda;Erik Katsavounidis;Sergey Klimenko;Albert Lazzarini;Szabolcs Marka;John W. C. McNabb;Saikat Ray Majumder;Peter R. Saulson;Hideyuki Tagoshi;Hirotaka Takahashi;Ryutaro Takahashi;Daisuke Tatsumi;Yoshiki Tsunesada;S. E. Whitcomb,Non-Math,Ando_M
K Yamamoto;T Uchiyama;S Miyoki;M Ohashi;K Kuroda;H Ishitsuka;T Akutsu;S Telada;T Tomaru;T Suzuki;N Sato;Y Saito;Y Higashi;T Haruyama;A Yamamoto;T Shintomi;D Tatsumi;M Ando;H Tagoshi;N Kanda;N Awaya;S Yamagishi;H Takahashi;A Araya;A Takamori;S Takemoto;T Higashi;H Hayakawa;W Morii;J Akamatsu,Non-Math,Ando_M
Daisuke Tatsumi;Ryutaro Takahashi;Koji Arai;Noriyasu Nakagawa;Kazuhiro Agatsuma;Toshitaka Yamazaki;Mitsuhiro Fukushima;Masa-Katsu Fujimoto;Akiteru Takamori;Alessandro Bertolini;Virginio Sannibale;Riccardo DeSalvo;Szabolcs Marka;Masaki Ando;Kimio Tsubono;Tomomi Akutsu;Kazuhiro Yamamoto;Hideki Ishitsuka;Takashi Uchiyama;Shinji Miyoki;Masatake Ohashi;Kazuaki Kuroda;Norichika Awaya;Nobuyuki Kanda;Akito Araya;Souichi Telada;Takayuki Tomaru;Tomiyoshi Haruyama;Akira Yamamoto;Nobuaki Sato;Toshitaka Suzuki;Takakazu Shintomi,Non-Math,Ando_M
Jozsef Balogh;Robin Pemantle,Probability,Balogh_J
Jozsef Balogh;Dhruv Mubayi,Combinatorics,Balogh_J
JÃ_zsef Balogh;John Lenz,Combinatorics,Balogh_J
JÃ_zsef Balogh;John Lenz,Combinatorics,Balogh_J
Jozsef Balogh;Dhruv Mubayi,Combinatorics,Balogh_J
JÃ_zsef Balogh;Cory Palmer,Combinatorics,Balogh_J
JÃ_zsef Balogh;John Lenz,Combinatorics,Balogh_J
JÃ_zsef Balogh;Å Ã¡rka PetÅ™Ã_ÄçkovÃ¡,Combinatorics,Balogh_J
JÃ_zsef Balogh;Hong Liu,Combinatorics,Balogh_J
J. Balogh;M. Csontos;D. Kaptas;G. Mihaly,Non-Math,Balogh_J
Jozsef Balogh;Yuval Peres;Gabor Pete,Probability,Balogh_J
JÃ_zsef Balogh;BÃ©la BollobÃ¡s;Robert Morris,Combinatorics,Balogh_J
JÃ_zsef Balogh;BÃ©la BollobÃ¡s;Robert Morris,Combinatorics,Balogh_J
JÃ_zsef Balogh;BÃ©la BollobÃ¡s;Robert Morris,Combinatorics,Balogh_J
JÃ_zsef Balogh;BÃ©la BollobÃ¡s;Robert Morris,Combinatorics,Balogh_J
JÃ_zsef Balogh;BÃ©la BollobÃ¡s;Robert Morris,Combinatorics,Balogh_J
Noga Alon;Jozsef Balogh;Bela Bollobas;Robert Morris,Combinatorics,Balogh_J
JÃ_zsef Balogh;Choongbum Lee;Wojciech Samotij,Combinatorics,Balogh_J
B. Muschler;I. TÃ_ttÅ‘;A. Zawadowski;J. Balogh;R. Hackl,Non-Math,Balogh_J
